run set,boolector.boolector,boolector.boolector,boolector.boolector,boolector.boolector,cvc4.cvc4,cvc4.cvc4,cvc4.cvc4,cvc4.cvc4,q3b.q3b,q3b.q3b,q3b.q3b,q3b.q3b,z3.z3,z3.z3,z3.z3,z3.z3
../benchmarks/bv/,status,cputime (s),walltime (s),memUsage,status,cputime (s),walltime (s),memUsage,status,cputime (s),walltime (s),memUsage,status,cputime (s),walltime (s),memUsage
2018-Preiner-cav18/check_bvsge_bvudiv0_4bit.smt2,unsat,0.041550133,0.026710564000040904,1171456,unsat,0.015768747,0.018193540978245437,2609152,unsat,0.021645888,0.020015071000671014,30662656,unsat,0.006202965,0.008200639000051524,2215936
2018-Preiner-cav18/check_bvsge_bvudiv0_64bit.smt2,TIMEOUT (timeout),1201.972677606,606.364094329,3200348160,TIMEOUT (timeout),1201.024514782,1201.062047135958,2413359104,TIMEOUT (timeout),1202.941194653,405.1189066430088,1725911040,TIMEOUT (timeout),1200.822668903,1201.0043404900002,70119424
2018-Preiner-cav18/check_bvsge_bvudiv1_32bit.smt2,unsat,6.816306679,3.4615437979999797,53071872,unsat,2.51148779,2.5147980890469626,168173568,unsat,0.025793318,0.023582400011946447,32370688,unsat,4.512565436,4.528443005999861,21241856
2018-Preiner-cav18/check_bvsge_bvudiv1_4bit.smt2,unsat,0.03354195,0.03793363499994484,1953792,unsat,0.026602499,0.031556404021102935,4308992,unsat,0.02303799,0.019462058000499383,32104448,unsat,0.009616043,0.027585717000192744,2347008
2018-Preiner-cav18/check_bvsge_bvudiv1_64bit.smt2,unsat,28.319542936,14.359761604999903,275013632,unsat,33.092299782,33.09717363299569,999809024,unsat,0.072170222,0.03757654200308025,35250176,unsat,20.717673427,20.72222072700015,108621824
2018-Preiner-cav18/check_bvsge_bvurem0_32bit.smt2,unsat,1174.634582072,594.1070837959999,122355712,unsat,0.743339432,0.746003390988335,52797440,unsat,0.053707043,0.03798324600211345,33157120,TIMEOUT (timeout),1200.921906757,1201.005881267,61046784
2018-Preiner-cav18/check_bvsge_bvurem0_4bit.smt2,unsat,0.020293216,0.018138316999966264,1040384,unsat,0.011825552,0.014578698028344661,2211840,unsat,0.030347644,0.029742251004790887,36130816,unsat,0.008676644,0.02549308800007566,2347008
2018-Preiner-cav18/check_bvsge_bvurem0_64bit.smt2,TIMEOUT (timeout),1201.904891756,607.309563684,254697472,unsat,5.156380269,5.1590607989928685,207007744,unsat,0.22063522,0.08892670000204816,56221696,TIMEOUT (timeout),1200.696906656,1201.010538129,275161088
2018-Preiner-cav18/check_bvsge_bvurem1_32bit.smt2,TIMEOUT (timeout),1202.028401196,604.564615664,1114927104,unsat,1.775549536,1.7805983860162087,109617152,unsat,0.089542585,0.04576458600058686,45080576,unsat,23.447184097,23.459734788999867,24911872
2018-Preiner-cav18/check_bvsge_bvurem1_4bit.smt2,unsat,0.287562729,0.17326091699987956,4964352,unsat,0.022243923,0.026027857966255397,3522560,unsat,0.022441617,0.02221592899877578,23584768,unsat,0.011149202,0.02704168899981596,2347008
2018-Preiner-cav18/check_bvsge_bvurem1_64bit.smt2,unsat,145.555999452,73.855867924,485797888,unsat,14.934302935,14.93864017497981,440115200,unsat,0.325701142,0.12703590100863948,56184832,unsat,934.464516979,934.5958808,113025024
2018-Preiner-cav18/check_bvsgt_bvadd_32bit.smt2,unsat,1.309021288,0.6862675679999484,11829248,unsat,0.011524484,0.014979365980252624,2469888,unsat,0.006791976,0.010148376997676678,1695744,unsat,0.011206734,0.027811631999611564,3002368
2018-Preiner-cav18/check_bvsgt_bvadd_4bit.smt2,unsat,0.011467878,0.021671268999853055,909312,unsat,0.00519469,0.008047979034017771,1163264,unsat,0.006791972,0.010993033996783197,1695744,unsat,0.005604989,0.008658812000248872,2084864
2018-Preiner-cav18/check_bvsgt_bvadd_64bit.smt2,unsat,0.188713513,0.10528719400008413,4186112,unsat,0.022692641,0.02610727900173515,4177920,unsat,0.007123033,0.011496055987663567,1695744,unsat,0.026054768,0.03217788099982499,4050944
2018-Preiner-cav18/check_bvsgt_bvand_32bit.smt2,unsat,0.416229362,0.22638858200002687,9113600,unsat,0.165746812,0.1682146160164848,11911168,unsat,0.02156439,0.024408891011262313,30007296,unsat,0.012760516,0.017492984999989858,3002368
2018-Preiner-cav18/check_bvsgt_bvand_4bit.smt2,unsat,0.005382464,0.009445049000078143,778240,unsat,0.00860756,0.012317655025981367,1552384,unsat,0.022338059,0.022113958999398164,29356032,unsat,0.006627363,0.011935803000142187,2215936
2018-Preiner-cav18/check_bvsgt_bvand_64bit.smt2,unsat,0.610014987,0.3208774029999404,8249344,unsat,0.71981374,0.7238770350231789,30175232,unsat,0.056148854,0.04568647600535769,44027904,unsat,8.369378013,8.472278065999944,79958016
2018-Preiner-cav18/check_bvsgt_bvashr0_32bit.smt2,unsat,0.271000418,0.1473888599998645,5115904,unsat,0.054938217,0.05834966799011454,4833280,unsat,0.048508108,0.046821791998809204,31055872,unsat,0.009021853,0.025403444999938074,2609152
2018-Preiner-cav18/check_bvsgt_bvashr0_4bit.smt2,unsat,0.012896311,0.019945084000028146,1036288,unsat,0.006459855,0.010010481986682862,1425408,unsat,0.019826762,0.020441453001694754,24240128,unsat,0.006247702,0.012176232000001619,2084864
2018-Preiner-cav18/check_bvsgt_bvashr0_64bit.smt2,unsat,0.7206341,0.3823070070000085,10588160,unsat,0.275400176,0.2778688659891486,9945088,unsat,0.36658491,0.15827845000603702,43114496,unsat,0.802944445,0.8090864289997626,23666688
2018-Preiner-cav18/check_bvsgt_bvashr1_32bit.smt2,unsat,0.163642297,0.0951019719998385,4198400,unsat,0.049059315,0.052333351981360465,7319552,unsat,0.024264584,0.02183657900604885,28565504,unsat,0.027436487,0.03893791000018609,3133440
2018-Preiner-cav18/check_bvsgt_bvashr1_4bit.smt2,unsat,0.012119606,0.015695159999950192,1040384,unsat,0.010744748,0.013040995982009917,1822720,unsat,0.018467389,0.021823742004926316,21561344,unsat,0.006035842,0.011691668999901594,2088960
2018-Preiner-cav18/check_bvsgt_bvashr1_64bit.smt2,unsat,0.333665657,0.1916854040000544,7827456,unsat,0.120348217,0.123085725994315,15187968,unsat,0.050441836,0.02870523600722663,33415168,unsat,0.061874436,0.06549609599960604,4182016
2018-Preiner-cav18/check_bvsgt_bvconcat0_2_64bit.smt2,unsat,0.021888969,0.01956906500004152,1171456,unsat,0.009006964,0.011623119993600994,1949696,unsat,0.02599341,0.02433068300888408,31973376,unsat,0.006168139,0.00878289299998869,2347008
2018-Preiner-cav18/check_bvsgt_bvconcat0_32_32bit.smt2,unsat,0.09544638,0.05494431900001473,2756608,unsat,0.018429839,0.021147207997273654,3260416,unsat,0.026530011,0.024642910997499712,31707136,unsat,0.006234132,0.009184973000174068,2478080
2018-Preiner-cav18/check_bvsgt_bvconcat0_34_32bit.smt2,unsat,0.03703675,0.030191690000037852,1429504,unsat,0.038004948,0.04040735797025263,5091328,unsat,0.045822953,0.0387518779898528,33415168,unsat,0.006383516,0.011683325999911176,2478080
2018-Preiner-cav18/check_bvsgt_bvconcat0_4_4bit.smt2,unsat,0.004396729,0.01085681199992905,778240,unsat,0.008555109,0.011195091996341944,1556480,unsat,0.02109848,0.01927122699271422,27516928,unsat,0.00534187,0.022726873999999953,2084864
2018-Preiner-cav18/check_bvsgt_bvconcat0_62_4bit.smt2,unsat,0.071641768,0.04461693100006414,2482176,unsat,0.18221878,0.18500021996442229,13615104,unsat,0.031668189,0.02298362200963311,31973376,unsat,0.006416596,0.011533178000263433,2609152
2018-Preiner-cav18/check_bvsgt_bvconcat0_64_64bit.smt2,unsat,0.056725906,0.03436191500009045,2076672,unsat,0.060860209,0.06501071696402505,7192576,unsat,0.071476444,0.037124327005585656,39047168,unsat,0.012588303,0.01606266599992523,3788800
2018-Preiner-cav18/check_bvsgt_bvconcat1_2_64bit.smt2,unsat,0.039175848,0.02715148099991893,1871872,unsat,0.020393205,0.02373994601657614,2732032,unsat,0.039009305,0.028431014012312517,32759808,unsat,0.069360675,0.07473719799963874,3530752
2018-Preiner-cav18/check_bvsgt_bvconcat1_32_32bit.smt2,unsat,0.075221274,0.05280386300000828,2211840,unsat,0.017546032,0.019901256018783897,2867200,unsat,0.031440091,0.02604483100003563,31580160,unsat,0.022133884,0.027437878999990062,3133440
2018-Preiner-cav18/check_bvsgt_bvconcat1_34_32bit.smt2,unsat,0.034600466,0.02243682799985436,1826816,unsat,0.018070028,0.02128345798701048,2998272,unsat,0.039140456,0.030111365995253436,31318016,unsat,0.020512837,0.027674375000060536,2744320
2018-Preiner-cav18/check_bvsgt_bvconcat1_4_4bit.smt2,unsat,0.009644846,0.010097203999976045,1040384,unsat,0.005842922,0.009584587009157985,1294336,unsat,0.020634017,0.019810782992863096,31449088,unsat,0.006863637,0.010037237999767967,2215936
2018-Preiner-cav18/check_bvsgt_bvconcat1_62_4bit.smt2,unsat,0.038694372,0.02609863500015308,1650688,unsat,0.017435745,0.020899030030705035,3260416,unsat,0.043217674,0.043456186991534196,31055872,unsat,0.010198564,0.015288134999991598,2740224
2018-Preiner-cav18/check_bvsgt_bvconcat1_64_64bit.smt2,unsat,0.147846586,0.08503480000013042,3440640,unsat,0.045299087,0.04877533297985792,4964352,unsat,0.07012155,0.04936288700264413,36954112,unsat,2.108306464,2.146517485000004,21762048
2018-Preiner-cav18/check_bvsgt_bvlshr0_32bit.smt2,unsat,0.197458116,0.11064696999983425,3563520,unsat,0.041881408,0.05523859499953687,4698112,unsat,0.035803443,0.03336144199420232,24502272,unsat,0.009664579,0.014891209000325034,2347008
2018-Preiner-cav18/check_bvsgt_bvlshr0_4bit.smt2,unsat,0.027323993,0.028169208999997863,2232320,unsat,0.006424505,0.00975059304619208,1294336,unsat,0.023597624,0.019236320003983565,29483008,unsat,0.005017346,0.0102481879998777,1691648
2018-Preiner-cav18/check_bvsgt_bvlshr0_64bit.smt2,unsat,0.574655765,0.29826096800002233,9510912,unsat,0.186341319,0.18978424300439656,9420800,unsat,0.488139276,0.232561467011692,41934848,unsat,0.017096654,0.020800296000288654,3002368
